order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,1,1,2499.00,0.00
2,1,11,2,399.00,0.00
3,2,5,2,599.00,0.00
4,2,18,3,349.00,0.00
5,3,18,3,349.00,0.00
6,3,25,1,799.00,0.00
7,4,7,4,2999.00,0.00
8,4,32,2,1299.00,0.10
9,5,3,1,799.00,0.10
10,5,39,3,6500.00,0.00
11,6,12,2,699.00,0.00
12,6,46,1,150.00,0.00
13,7,15,3,899.00,0.15
14,7,3,2,799.00,0.00
15,8,24,4,399.00,0.00
16,8,10,3,699.00,0.10
17,9,6,1,1499.00,0.00
18,9,17,1,2499.00,0.20
19,10,2,2,499.00,0.10
20,10,24,2,399.00,0.00
21,11,1,3,2499.00,0.05
22,11,31,3,799.00,0.00
23,12,5,4,599.00,0.00
24,12,38,1,2500.00,0.10
25,13,18,1,349.00,0.00
26,13,45,2,450.00,0.00
27,14,7,2,2999.00,0.15
28,14,2,3,499.00,0.05
29,15,3,3,799.00,0.10
30,15,9,1,499.00,0.00
31,16,12,4,699.00,0.00
32,16,16,2,599.00,0.10
33,17,15,1,899.00,0.00
34,17,23,3,499.00,0.00
35,18,24,2,399.00,0.00
36,18,30,1,8000.00,0.20
37,19,6,3,1499.00,0.00
38,19,37,2,499.00,0.00
39,20,2,4,499.00,0.10
40,20,44,3,299.00,0.10
41,21,1,1,2499.00,0.15
42,21,2,1,499.00,0.00
43,22,5,2,599.00,0.05
44,22,8,2,3999.00,0.00
45,23,18,3,349.00,0.00
46,23,15,3,899.00,0.00
47,24,7,4,2999.00,0.00
48,24,22,1,1299.00,0.10
49,25,3,1,799.00,0.10
50,25,29,2,1299.00,0.00
51,26,12,2,699.00,0.00
52,26,36,3,399.00,0.00
53,27,15,3,899.00,0.00
54,27,43,1,599.00,0.20
55,28,24,4,399.00,0.15
56,28,50,2,899.00,0.10
57,29,6,1,1499.00,0.00
58,29,7,3,2999.00,0.00
59,30,2,2,499.00,0.10
60,30,14,1,4999.00,0.00
61,31,1,3,2499.00,0.00
62,31,21,2,899.00,0.00
63,32,5,4,599.00,0.00
64,32,28,3,699.00,0.10
65,33,18,1,349.00,0.05
66,33,35,1,599.00,0.00
67,34,7,2,2999.00,0.00
68,34,42,2,199.00,0.00
69,35,3,3,799.00,0.10
70,35,49,3,599.00,0.00
71,36,12,4,699.00,0.00
72,36,6,1,1499.00,0.10
73,37,15,1,899.00,0.00
74,37,13,2,1199.00,0.00
75,38,24,2,399.00,0.00
76,38,20,3,1599.00,0.00
77,39,6,3,1499.00,0.00
78,39,27,1,15000.00,0.00
79,40,2,4,499.00,0.10
80,40,34,2,299.00,0.10
81,41,1,1,2499.00,0.00
82,41,41,3,1500.00,0.00
83,42,5,2,599.00,0.15
84,42,48,1,699.00,0.05
85,43,18,3,349.00,0.00
86,43,5,2,599.00,0.00
87,44,7,4,2999.00,0.05
88,44,12,3,699.00,0.10
89,45,3,1,799.00,0.10
90,45,19,1,499.00,0.20
91,46,12,2,699.00,0.00
92,46,26,2,4999.00,0.00
93,47,15,3,899.00,0.00
94,47,33,3,1999.00,0.00
95,48,24,4,399.00,0.00
96,48,40,1,899.00,0.10
97,49,6,1,1499.00,0.15
98,49,47,2,799.00,0.00
99,50,2,2,499.00,0.10
100,50,4,3,3499.00,0.00
101,51,1,3,2499.00,0.00
102,51,11,1,399.00,0.00
103,52,5,4,599.00,0.00
104,52,18,2,349.00,0.10
105,53,18,1,349.00,0.00
106,53,25,3,799.00,0.00
107,54,7,2,2999.00,0.00
108,54,32,1,1299.00,0.20
109,55,3,3,799.00,0.10
110,55,39,2,6500.00,0.00
111,56,12,4,699.00,0.15
112,56,46,3,150.00,0.10
113,57,15,1,899.00,0.00
114,57,3,1,799.00,0.00
115,58,24,2,399.00,0.00
116,58,10,2,699.00,0.00
117,59,6,3,1499.00,0.00
118,59,17,3,2499.00,0.00
119,60,2,4,499.00,0.10
120,60,24,1,399.00,0.10
121,61,1,1,2499.00,0.00
122,61,31,2,799.00,0.00
123,62,5,2,599.00,0.00
124,62,38,3,2500.00,0.00
125,63,18,3,349.00,0.15
126,63,45,1,450.00,0.20
127,64,7,4,2999.00,0.00
128,64,2,2,499.00,0.10
129,65,3,1,799.00,0.10
130,65,9,3,499.00,0.00
131,66,12,2,699.00,0.05
132,66,16,1,599.00,0.00
133,67,15,3,899.00,0.00
134,67,23,2,499.00,0.00
135,68,24,4,399.00,0.00
136,68,30,3,8000.00,0.10
137,69,6,1,1499.00,0.00
138,69,37,1,499.00,0.00
139,70,2,2,499.00,0.10
140,70,44,2,299.00,0.05
141,71,1,3,2499.00,0.00
142,71,2,3,499.00,0.00
143,72,5,4,599.00,0.00
144,72,8,1,3999.00,0.10
145,73,18,1,349.00,0.00
146,73,15,2,899.00,0.00
147,74,7,2,2999.00,0.00
148,74,22,3,1299.00,0.00
149,75,3,3,799.00,0.10
